Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,PlayerID
1,Connor McDavid,26,EDM,C,82,64,89,153,22,36,39,21,4,11,36,50,3,352,18.2,529,1835:37,22:23,525,486,51.9,40,89,82,77,AS-1Byng-16Hart-1Richard-1Ross-1Pearson-1,mcdavco01
2,Leon Draisaitl,27,EDM,C,80,52,76,128,7,24,19,32,1,11,45,30,1,247,21.1,423,1738:43,21:44,807,663,54.9,40,66,77,102,AS-2AS-10Byng-21Hart-7,draisle01
3,Nikita Kucherov,29,TBL,RW,82,30,83,113,-2,36,22,8,0,4,41,42,0,271,11.1,545,1650:51,20:08,2,0,100.0,28,61,57,98,AS-4AS-17Hart-12,kucheni01
4,David Pastrňák,26,BOS,RW,82,61,52,113,34,38,43,18,0,13,33,19,0,407,15.0,727,1604:17,19:34,8,11,42.1,33,91,52,109,AS-1AS-10Byng-22Hart-2,pastrda01
5,Nathan MacKinnon,27,COL,C,71,42,69,111,29,30,30,12,0,9,47,22,0,366,11.5,629,1584:32,22:19,519,649,44.4,40,53,43,47,AS-3Byng-39Hart-5,mackina01
6,Jason Robertson,23,DAL,LW,82,46,63,109,37,20,33,13,0,7,35,28,0,313,14.7,565,1544:47,18:50,0,1,0.0,19,57,62,66,AS-1Byng-10Hart-4Selke-20,roberja01
7,Matthew Tkachuk,25,FLA,LW,79,40,69,109,29,123,26,14,0,6,46,22,1,322,12.4,536,1614:26,20:26,13,16,44.8,31,68,38,62,AS-2AS-5Hart-3Selke-17,tkachma01
8,Mikko Rantanen,26,COL,RW,82,55,50,105,15,82,42,13,0,9,26,24,0,306,18.0,558,1822:23,22:13,222,231,49.0,41,77,61,45,AS-3AS-15Hart-6,rantami01
9,Ryan Nugent-Hopkins,29,EDM,C,82,37,67,104,12,35,21,15,1,3,26,38,3,201,18.4,328,1623:42,19:48,308,374,45.2,26,48,56,31,AS-3Byng-29Selke-29,nugenry01
10,Elias Pettersson,24,VAN,C,80,39,63,102,16,14,28,6,5,6,40,19,4,257,15.2,489,1644:23,20:33,442,555,44.3,89,74,56,47,AS-5Byng-8Hart-18Selke-7,petteel01
11,Erik Karlsson,32,SJS,D,82,25,76,101,-26,36,20,5,0,4,54,22,0,209,12.0,505,2100:26,25:37,0,1,0.0,90,33,81,101,AS-1Byng-26Hart-15,karlser01
12,Jack Hughes,21,NJD,C,78,43,56,99,10,6,34,9,0,6,34,22,0,336,12.8,554,1557:21,19:58,164,300,35.3,30,12,60,85,AS-4Byng-2Hart-8,hugheja03
13,Mitch Marner,25,TOR,RW,80,30,69,99,18,28,17,9,4,4,41,27,1,196,15.3,402,1702:06,21:17,0,4,0.0,45,53,104,94,AS-5Byng-23Hart-13Selke-3,marnemi01
14,Brayden Point,26,TBL,C,82,51,44,95,2,7,31,20,0,9,34,10,0,235,21.7,393,1612:55,19:40,417,405,50.7,37,37,51,45,AS-8Byng-3,pointbr01
15,Tage Thompson,25,BUF,C,78,47,47,94,4,39,26,20,1,7,33,14,0,295,15.9,542,1450:02,18:35,350,463,43.1,26,55,43,40,AS-6AS-9Hart-14,thompta01
16,Sidney Crosby,35,PIT,C,82,33,60,93,8,52,24,9,0,9,42,18,0,255,12.9,443,1651:46,20:09,978,868,53.0,47,71,59,67,AS-11Hart-18Selke-12,crosbsi01
17,Artemi Panarin,31,NYR,LW,82,29,63,92,4,36,20,9,0,4,36,27,0,204,14.2,430,1607:50,19:36,6,13,31.6,11,26,36,102,AS-2,panarar01
18,Mika Zibanejad,29,NYR,C,82,39,52,91,25,20,18,20,1,5,32,19,1,251,15.5,440,1636:54,19:58,692,706,49.5,48,71,57,67,AS-6Byng-24Selke-16,zibanmi01
19,Tim Stützle,21,OTT,LW,78,39,51,90,-3,54,26,10,3,3,33,18,0,228,17.1,442,1658:40,21:16,202,284,41.6,49,114,61,62,AS-13,stuetti02
20,William Nylander,26,TOR,C,82,40,47,87,10,28,31,9,0,5,28,19,0,293,13.7,516,1520:27,18:33,25,34,42.4,26,18,70,37,AS-8Byng-39,nylanwi01
21,Clayton Keller,24,ARI,C,82,37,49,86,-2,49,30,6,1,4,35,14,0,223,16.6,382,1701:31,20:45,22,41,34.9,34,18,58,63,,kellecl01
22,Auston Matthews,25,TOR,C,74,40,45,85,31,20,27,13,0,8,30,15,0,327,12.2,568,1500:36,20:17,550,499,52.4,92,78,68,55,AS-7Byng-19Hart-16Selke-14,matthau01
23,Steven Stamkos,32,TBL,C,81,34,50,84,-5,46,20,14,0,6,29,21,0,240,14.2,449,1540:41,19:01,501,430,53.8,51,92,25,54,Messier-1,stamkst01
24,Zach Hyman,30,EDM,LW,79,36,47,83,13,39,21,15,0,3,36,11,0,276,13.0,430,1591:54,20:09,6,6,50.0,19,77,33,30,AS-7AS-12,hymanza01
25,Evgeni Malkin,36,PIT,C,82,27,56,83,-12,82,16,11,0,3,31,25,0,240,11.3,417,1523:36,18:35,422,434,49.3,33,53,82,105,,malkiev01
26,Brady Tkachuk,23,OTT,LW,82,35,48,83,-10,126,24,11,0,6,30,18,0,347,10.1,559,1527:50,18:38,370,395,48.4,9,242,30,51,AS-6,tkachbr01
27,J.T. Miller,29,VAN,C,81,32,50,82,-7,60,16,11,5,3,27,19,4,223,14.3,404,1675:02,20:41,487,399,55.0,51,200,58,46,Selke-34,millejt01
28,Jeff Skinner,30,BUF,LW,79,35,47,82,15,39,27,8,0,3,34,13,0,242,14.5,433,1374:23,17:24,142,158,47.3,14,21,41,46,AS-9Byng-48,skinnje01
29,Kyle Connor,26,WPG,LW,82,31,49,80,-11,20,23,8,0,8,28,21,0,273,11.4,497,1683:24,20:32,2,5,28.6,24,43,42,40,AS-16Byng-28,connoky01
30,Nico Hischier,24,NJD,C,81,31,49,80,33,10,21,7,3,9,36,12,1,256,12.1,417,1562:26,19:17,891,763,53.9,61,34,64,41,Byng-9Selke-2,hischni01
31,John Tavares,32,TOR,C,80,36,44,80,-7,34,18,18,0,9,23,21,0,277,13.0,464,1412:31,17:39,726,519,58.3,36,112,46,54,,tavarjo01
32,Claude Giroux,35,OTT,C,82,35,44,79,4,34,28,7,0,6,26,17,1,214,16.4,357,1541:16,18:48,712,509,58.3,30,75,52,32,Selke-34,giroucl01
33,Dylan Larkin,26,DET,C,80,32,47,79,-7,45,15,16,1,5,32,15,0,244,13.1,465,1564:27,19:33,737,618,54.4,27,47,56,47,,larkidy01
34,Alex Tuch,26,BUF,RW,74,36,43,79,14,20,27,8,1,9,31,12,0,218,16.5,363,1417:24,19:09,32,43,42.7,46,54,64,38,Byng-39,tuchal01
35,Aleksander Barkov,27,FLA,C,68,23,55,78,10,8,14,8,1,6,32,22,1,208,11.1,345,1443:15,21:13,731,601,54.9,48,52,56,38,Byng-7Selke-8,barkoal01
36,Jamie Benn,33,DAL,LW,82,33,45,78,23,34,18,13,2,4,27,17,1,190,17.4,330,1294:15,15:47,520,345,60.1,38,97,55,48,AS-17Selke-34,bennja01
37,Joe Pavelski,38,DAL,C,82,28,49,77,42,8,15,13,0,2,34,14,1,184,15.2,337,1453:16,17:43,368,321,53.4,64,93,32,57,Byng-5Selke-26,paveljo01
38,Quinn Hughes,23,VAN,D,78,7,69,76,15,34,5,2,0,0,36,32,1,154,4.5,368,2001:35,25:40,0,0,,71,29,56,45,AS-9,hughequ01
39,Josh Morrissey,27,WPG,D,78,16,60,76,2,41,14,2,0,6,34,26,0,172,9.3,395,1890:02,24:14,0,0,,119,89,36,59,AS-5,morrijo04
40,Roope Hintz,26,DAL,LW,73,37,38,75,31,30,25,9,3,5,26,12,0,184,20.1,316,1281:43,17:33,249,230,52.0,45,47,26,38,Selke-11,hintzro01
41,Kirill Kaprizov,25,MIN,LW,67,40,35,75,4,45,23,17,0,6,20,15,0,261,15.3,498,1414:33,21:07,2,3,40.0,28,66,50,54,AS-4Hart-17,kapriki01
42,Brock Nelson,31,NYI,C,82,36,39,75,13,24,30,6,0,8,28,11,0,222,16.2,418,1511:43,18:26,490,547,47.3,43,50,48,40,,nelsobr01
43,Alex Ovechkin,37,WSH,LW,73,42,33,75,-16,48,28,14,0,3,22,11,0,294,14.3,578,1474:54,20:12,4,5,44.4,23,188,31,52,AS-7,ovechal01
44,Johnny Gaudreau,29,CBJ,LW,80,21,53,74,-33,22,18,3,0,4,32,21,0,220,9.5,398,1553:27,19:25,0,0,,18,5,49,50,Byng-48,gaudrjo01
45,Dougie Hamilton,29,NJD,D,82,22,52,74,23,50,14,8,0,7,32,20,0,275,8.0,562,1785:30,21:46,0,0,,86,64,21,74,AS-7,hamildo01
46,Anže Kopitar,35,LAK,C,82,28,46,74,20,4,21,7,0,4,32,13,1,169,16.6,290,1664:47,20:18,899,709,55.9,87,68,46,49,Byng-1Selke-5,kopitan01
47,Andrei Kuzmenko,26,VAN,F,81,39,35,74,9,8,25,14,0,4,30,5,0,143,27.3,276,1315:35,16:15,0,1,0.0,18,13,32,29,Byng-31,kuzmean01
48,Jesper Bratt,24,NJD,W,82,32,41,73,14,6,24,8,0,3,27,14,0,212,15.1,381,1424:08,17:22,0,0,,23,24,41,44,Byng-12,brattje01
49,Rasmus Dahlin,22,BUF,D,78,15,58,73,12,92,9,6,0,2,32,26,0,204,7.4,378,2012:04,25:48,0,0,,132,105,45,61,AS-6,dahlira01
50,Jake Guentzel,28,PIT,C,78,36,37,73,2,46,25,11,0,6,25,12,0,244,14.8,446,1569:03,20:07,8,8,50.0,46,83,44,48,,guentja01
51,Miro Heiskanen,23,DAL,D,79,11,62,73,12,32,9,2,0,2,29,32,1,206,5.3,441,2013:48,25:29,0,0,,96,49,53,65,AS-8,heiskmi01
52,Jordan Kyrou,24,STL,C,79,37,36,73,-38,22,26,11,0,5,23,12,1,272,13.6,470,1422:17,18:00,5,9,35.7,35,14,54,55,,kyroujo01
53,Brandon Montour,28,FLA,D,80,16,57,73,9,107,13,3,0,5,27,30,0,242,6.6,459,1930:06,24:08,0,0,,93,92,33,52,AS-12,montobr01
54,Tyler Toffoli,30,CGY,C,82,34,39,73,16,28,24,10,0,4,24,15,0,268,12.7,477,1362:06,16:37,7,5,58.3,14,59,41,32,,toffoty01
55,Carter Verhaeghe,27,FLA,C,81,42,31,73,10,46,35,7,0,2,25,6,0,275,15.3,470,1417:40,17:30,20,21,48.8,31,29,35,56,,verhaca01
56,Kevin Fiala,26,LAK,LW,69,23,49,72,2,52,16,7,0,2,32,17,0,208,11.1,361,1214:04,17:36,8,8,50.0,18,53,18,37,,fialake01
57,Adam Fox,24,NYR,D,82,12,60,72,28,34,11,1,0,5,29,28,3,159,7.5,331,1998:58,24:23,0,0,,125,25,88,74,AS-2Byng-48,foxad01
58,Martin Nečas,24,CAR,C,82,28,43,71,5,32,19,9,0,5,25,17,1,240,11.7,438,1509:48,18:25,188,229,45.1,21,57,45,65,,necasma01
59,Jared McCann,26,SEA,C,79,40,30,70,18,14,30,7,3,3,21,9,0,210,19.0,396,1290:48,16:20,26,52,33.3,28,65,56,28,AS-13,mccanja01
60,Dylan Cozens,21,BUF,C,81,31,37,68,-3,41,24,5,2,1,23,13,1,211,14.7,336,1336:15,16:30,567,607,48.3,30,55,36,20,,cozendy01
61,Mark Scheifele,29,WPG,C,81,42,26,68,-16,43,30,12,0,10,16,10,0,206,20.4,363,1658:49,20:29,579,628,48.0,38,50,61,45,,scheima01
62,Sebastian Aho,25,CAR,F,75,36,31,67,8,42,26,7,3,9,22,8,1,218,16.5,377,1462:10,19:30,531,503,51.4,21,59,63,63,Selke-28,ahose01
63,Pavel Buchnevich,27,STL,LW,63,26,41,67,14,36,18,8,0,2,26,13,2,123,21.1,227,1225:32,19:27,64,150,29.9,23,54,35,31,,buchnpa01
64,Logan Couture,33,SJS,C,82,27,40,67,-30,19,21,5,1,4,25,15,0,198,13.6,341,1568:47,19:08,640,709,47.4,70,128,71,35,,coutulo01
65,Adrian Kempe,26,LAK,LW,82,41,26,67,22,55,27,11,3,6,17,9,0,250,16.4,451,1538:09,18:45,16,35,31.4,32,119,24,39,,kempead01
