AFM,Atlanta Flames
ANA,Mighty Ducks of Anaheim/Anaheim Ducks
ARI,Arizona Coyotes
ATL,Atlanta Thrashers
BOS,Boston Bruins
BRK,Brooklyn Americans
BUF,Buffalo Sabres
CAR,Carolina Hurricanes
CGS,Bay Area Seals/California Golden Seals
CGY,Calgary Flames
CHI,Chicago Black Hawks/Blackhawks
CBJ,Columbus Blue Jackets
CLE,Cleveland Barons
CLR,Colorado Rockies
COL,Colorado Avalanche
DAL,Dallas Stars
DFL,Detroit Falcons
DCG,Detroit Cougars
DET,Detroit Red Wings
EDM,Edmonton Oilers
FLA,Florida Panthers
HAM,Hamilton Tigers
HFD,Hartford Whalers
KCS,Kansas City Scouts
LAK,Los Angeles Kings
MIN,Minnesota Wild
MMR,Montreal Maroons
MNS,Minnesota North Stars
MTL,Montreal Canadiens
MWN,Montreal Wanderers
NSH,Nashville Predators
NJD,New Jersey Devils
NYA,New York Americans
NYI,New York Islanders
NYR,New York Rangers
OAK,California/Oakland Seals
OTT,Ottawa Senators
PHI,Philadelphia Flyers
PHX,Phoenix Coyotes
PIR,Pittsburgh Pirates
PIT,Pittsburgh Penguins
QUA,Philadelphia Quakers
QUE,Quebec Nordiques
QBD,Quebec Bulldogs
SEN,Ottawa Senators (original)
SJS,San Jose Sharks
SLE,St. Louis Eagles
STL,St. Louis Blues
TAN,Toronto Hockey Club/Toronto Arenas
TBL,Tampa Bay Lightning
TOR,Toronto Maple Leafs
TSP,Toronto St. Patricks
VAN,Vancouver Canucks
VGK,Vegas Golden Knights
WIN,Winnipeg Jets (original)
WPG,Winnipeg Jets
WSH,Washington Capitals
