Rk,,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,VEG,WPG,WSH
1,Anaheim Ducks,,2-4-2,,,,,,,2-4-2,,,,,4-4-0,1-5-2,,,,,,,,,4-3-1,3-5-0,,,,1-5-2,,
2,Arizona Coyotes,6-1-1,,,,,,,,2-5-1,,,,,3-4-1,1-7-0,,,,,,,,,5-2-1,5-2-1,,,,2-5-1,,
3,Boston Bruins,,,,7-1-0,,,,,,,,,,,,,3-3-2,,3-3-2,5-3-0,,6-1-1,5-3-0,,,,,,,,4-2-2
4,Buffalo Sabres,,,1-6-1,,,,,,,,,,,,,,4-3-1,,2-6-0,2-4-2,,3-3-2,1-7-0,,,,,,,,2-5-1
5,Carolina Hurricanes,,,,,,5-1-2,,5-2-1,,6-1-1,4-3-1,,6-0-2,,,,,6-2-0,,,,,,,,4-3-1,,,,,
6,Columbus Blue Jackets,,,,,3-3-2,,,2-3-3,,3-4-1,4-3-1,,1-5-2,,,,,2-5-1,,,,,,,,3-3-2,,,,,
7,Calgary Flames,,,,,,,,,,,,4-6-0,,,,6-3-0,,,,,3-5-1,,,,,,3-5-1,7-3-0,,3-5-1,
8,Chicago Blackhawks,,,,,3-4-1,6-2-0,,,,5-2-1,6-2-0,,2-4-2,,,,,1-5-2,,,,,,,,1-6-1,,,,,
9,Colorado Avalanche,6-1-1,6-1-1,,,,,,,,,,,,7-1-0,5-2-1,,,,,,,,,6-2-0,5-3-0,,,,4-3-1,,
10,Dallas Stars,,,,,2-4-2,5-2-1,,3-3-2,,,6-2-0,,2-3-3,,,,,3-0-5,,,,,,,,2-5-1,,,,,
11,Detroit Red Wings,,,,,4-4-0,4-2-2,,2-5-1,,2-3-3,,,2-4-2,,,,,2-5-1,,,,,,,,3-4-1,,,,,
12,Edmonton Oilers,,,,,,,6-4-0,,,,,,,,,4-4-1,,,,,9-0-0,,,,,,3-5-1,6-4-0,,7-2-0,
13,Florida Panthers,,,,,2-4-2,7-0-1,,6-2-0,,6-2-0,6-2-0,,,,,,,5-2-1,,,,,,,,5-2-1,,,,,
14,Los Angeles Kings,4-3-1,5-3-0,,,,,,,1-7-0,,,,,,2-3-3,,,,,,,,,2-5-1,5-1-2,,,,2-6-0,,
15,Minnesota Wild,7-1-0,7-1-0,,,,,,,3-5-0,,,,,6-2-0,,,,,,,,,,5-2-1,2-4-2,,,,5-1-2,,
16,Montreal Canadiens,,,,,,,3-6-0,,,,,5-2-2,,,,,,,,,4-4-2,,,,,,3-6-1,6-0-3,,3-3-3,
17,New Jersey Devils,,,5-1-2,4-3-1,,,,,,,,,,,,,,,2-5-1,2-6-0,,4-3-1,2-6-0,,,,,,,,0-6-2
18,Nashville Predators,,,,,2-5-1,6-2-0,,7-0-1,,5-3-0,6-2-0,,3-5-0,,,,,,,,,,,,,2-6-0,,,,,
19,New York Islanders,,,5-2-1,6-1-1,,,,,,,,,,,,,6-2-0,,,6-2-0,,5-1-2,2-4-2,,,,,,,,2-5-1
20,New York Rangers,,,3-4-1,6-1-1,,,,,,,,,,,,,6-2-0,,2-5-1,,,4-3-1,2-4-2,,,,,,,,4-4-0
21,Ottawa Senators,,,,,,,6-3-0,,,,,0-9-0,,,,6-3-1,,,,,,,,,,,4-4-1,3-4-2,,4-5-1,
22,Philadelphia Flyers,,,2-4-2,5-3-0,,,,,,,,,,,,,4-4-0,,3-1-4,4-3-1,,,5-3-0,,,,,,,,2-5-1
23,Pittsburgh Penguins,,,3-4-1,7-1-0,,,,,,,,,,,,,6-1-1,,6-2-0,6-2-0,,3-4-1,,,,,,,,,6-2-0
24,San Jose Sharks,4-3-1,3-4-1,,,,,,,2-5-1,,,,,6-2-0,3-5-0,,,,,,,,,,3-3-2,,,,0-6-2,,
25,St. Louis Blues,5-1-2,3-4-1,,,,,,,3-5-0,,,,,3-4-1,6-1-1,,,,,,,,,5-1-2,,,,,2-4-2,,
26,Tampa Bay Lightning,,,,,4-3-1,5-3-0,,7-0-1,,6-2-0,5-2-1,,3-5-0,,,,,6-2-0,,,,,,,,,,,,,
27,Toronto Maple Leafs,,,,,,,6-2-1,,,,,6-1-2,,,,7-2-1,,,,,5-2-2,,,,,,,5-3-1,,6-4-0,
28,Vancouver Canucks,,,,,,,3-5-2,,,,,4-6-0,,,,3-5-1,,,,,6-3-0,,,,,,4-5-0,,,3-5-1,
29,Vegas Golden Knights,7-1-0,6-2-0,,,,,,,4-4-0,,,,,6-2-0,3-4-1,,,,,,,,,8-0-0,6-1-1,,,,,,
30,Winnipeg Jets,,,,,,,6-2-1,,,,,2-7-0,,,,6-3-0,,,,,6-4-0,,,,,,4-4-2,6-3-0,,,
31,Washington Capitals,,,4-4-0,6-1-1,,,,,,,,,,,,,8-0-0,,6-2-0,4-4-0,,6-2-0,2-2-4,,,,,,,,
